姓,名
科,目,1
科,目,2
科,目,3
科,目,4
科,目,5
科,目,6
科,目,7
王怡珊,75,88,84,82,47,100,92
蘇婷婷,51,97,85,73,100,61,99
黃旻林,93,49,59,74,85,52,66
張莉雯,70,98,76,69,49,77,94
方雅慧,43,81,63,64,99,81,61
王人仰,98,53,94,59,71,89,73
楊綺芬,66,87,73,40,48,90,90
吳志宣,70,84,46,97,70,67,66
柯韋成,94,94,57,59,56,88,69
程玫靖,58,71,54,40,65,75,44
林群清,71,51,70,74,94,74,41
陳得映,73,80,85,97,75,50,80
楊易政,88,84,83,80,84,73,73
王雅慧,63,40,81,64,45,97,40
林瑞喬,74,61,66,95,54,57,88
羅幸娥,78,97,53,63,45,98,86
洪阿惠,85,71,46,59,82,50,81
王怡珊,48,68,53,53,42,83,96
賴苑禾,69,44,96,82,72,41,68
張天亨,50,93,76,80,57,54,59
金宜芳,57,58,81,95,66,42,57
翁均安,76,74,60,46,84,75,81
鄭佳玲,46,95,91,83,84,73,58
潘俊賢,69,93,60,60,94,95,80
羅幸娥,77,88,49,78,78,61,59
林希啟,67,45,48,80,47,41,99
張雅芬,95,41,67,75,51,79,65
王柏聖,69,50,46,80,64,86,93
劉雯芬,42,93,93,59,73,58,86
吳昕婷,75,97,60,79,51,57,54
張牧聿,42,68,79,68,80,99,70
林群清,41,73,67,56,63,44,63
蔡孟泉,98,42,49,41,97,53,58
蒙淑惠,94,49,47,74,84,86,84
柯韋成,67,40,100,63,82,83,64
溫重意,88,61,78,49,60,93,81
陳建豪,79,52,64,84,99,86,100
劉旭士,73,75,92,43,41,85,53
陳彥治,98,52,44,93,72,97,90
林詠斌,63,69,97,91,78,77,61
黃名明,68,71,68,72,93,100,43
王雅琴,53,91,57,80,74,62,65
陳怡珊,93,88,86,92,92,66,89
黃偉剛,67,61,97,97,86,67,40
趙家豪,50,43,99,74,56,80,75
龔姵君,90,42,95,45,73,61,90
王孝純,89,85,44,87,88,82,54
翁鈺婷,99,53,68,67,51,99,60
胡淑貞,85,41,46,75,72,80,66
盧冠發,56,66,57,96,47,85,76
